taxa_clean,wm_g,dm_g
Arthritica,0.0259,0.0151
Arthritica,0.0593,0.0277
Arthritica,0.0547,0.0364
Arthritica,0.1176,0.0536
Arthritica,0.2643,0.1368
Arthritica,0.0134,0.0064
Arthritica,0.0273,0.0056
Arthritica,0.0069,0.0032
Arthritica,0.0272,0.015
Arthritica,0.0593,0.0282
Arthritica,0.017,0.0084
Arthritica,0.0253,0.0127
Arthritica,0.0198,0.0108
Arthritica,0.0111,0.0047
Arthritica,0.033,0.0156
Arthritica,0.0134,0.0083
Arthritica,0.0583,0.0077
Arthritica,0.0074,0.0047
Arthritica,0.127,0.0709
Arthritica,0.0351,0.0198
Arthritica,0.0583,0.0202
Arthritica,0.0389,0.0188
Arthritica,0.035,0.0161
Arthritica,0.0148,0.0097
Arthritica,0.0422,0.0216
Arthritica,0.0062,0.0037
Arthritica,0.0151,0.0072
Arthritica,0.0919,0.0446
Arthritica,0.4066,0.1869
Arthritica,0.01,0.0037
Arthritica,0.0628,0.0312
Arthritica,0.1254,0.0597
Arthritica,0.0102,0.0051
Arthritica,0.0173,0.0084
Arthritica,0.0187,0.0099
Arthritica,0.0073,0.0029
Arthritica,0.012,0.0023
Arthritica,0.0068,0.0027
Arthritica,0.0047,0.002
Arthritica,0.0088,0.0049
Arthritica,0.031,0.0121
Arthritica,0.0323,0.0159
Arthritica,0.0357,0.0201
Arthritica,0.0315,0.0117
Arthritica,0.4821,0.3165
Arthritica,0.3492,0.2169
Arthritica,0.0231,0.01
Arthritica,0.0068,0.0028
Arthritica,0.0047,0.0019
Arthritica,0.0365,0.0164
Arthritica,0.0139,0.0045
Arthritica,0.0171,0.0081
Arthritica,0.111,0.0589
Arthritica,0.1317,0.0824
Arthritica,0.0567,0.0166
Arthritica,0.7438,0.4024
Arthritica,0.3265,0.1386
Arthritica,0.2939,0.1427
Arthritica,0.465,0.2282
Arthritica,0.5376,0.3086
Arthritica,0.2183,0.0934
Arthritica,1.0918,0.5836
Arthritica,1.1694,0.6745
Arthritica,1.4509,0.8371
Arthritica,0.234,0.1128
Arthritica,0.5661,0.3031
Arthritica,0.3827,0.2175
Arthritica,0.1348,0.0739
Arthritica,0.183,0.0872
Arthritica,0.0846,0.0468
Arthritica,0.138,0.0772
Arthritica,0.932,0.4694
Arthritica,0.6316,0.3483
Arthritica,0.435,0.2154
Arthritica,0.1335,0.0802
Arthritica,0.5538,0.2555
Arthritica,0.1442,0.0735
Arthritica,0.3224,0.1544
Arthritica,0.0974,0.0371
Arthritica,0.039,0.0194
Arthritica,0.1189,0.0695
Arthritica,0.0468,0.0194
Arthritica,0.2452,0.1307
Arthritica,0.0535,0.0261
Arthritica,0.0486,0.0214
Arthritica,0.2215,0.1039
Arthritica,0.418,0.2092
Arthritica,0.2872,0.1384
Arthritica,0.417,0.2538
Arthritica,0.053900000000000003,0.0405
Arthritica,0.0987,0.0562
Arthritica,0.0169,0.0108
Arthritica,0.7684,0.3984
Arthritica,0.3213,0.1579
Arthritica,0.0299,0.0128
Arthritica,0.295,0.1228
Arthritica,0.441,0.2449
Arthritica,0.4874,0.2144
Arthritica,0.4124,0.2053
Arthritica,0.7108,0.3218
Arthritica,0.2062,0.097
Arthritica,0.1558,0.0993
Arthritica,0.2995,0.1472
Arthritica,0.3442,0.1511
Arthritica,0.3733,0.231
Arthritica,0.1444,0.0873
Arthritica,0.0596,0.0367
Arthritica,0.2817,0.1406
Arthritica,0.6514,0.3123
Arthritica,0.602,0.2907
Arthritica,0.6105,0.296
Hydrobiidae,0.5597,0.3114
Hydrobiidae,0.6787,0.3948
Hydrobiidae,0.2944,0.1738
Hydrobiidae,0.4679,0.2754
Hydrobiidae,0.2494,0.1541
Hydrobiidae,0.4483,0.2702
Hydrobiidae,0.0537,0.0347
Hydrobiidae,0.0429,0.0268
Hydrobiidae,0.316,0.1891
Hydrobiidae,0.1583,0.095
Hydrobiidae,0.0866,0.0514
Hydrobiidae,0.0754,0.047
Hydrobiidae,0.109,0.0667
Hydrobiidae,0.1416,0.0698
Hydrobiidae,0.0549,0.0297
Hydrobiidae,0.0756,0.0378
Hydrobiidae,0.0657,0.0293
Hydrobiidae,0.0532,0.0288
Hydrobiidae,0.1476,0.0691
Hydrobiidae,0.0823,0.0369
Hydrobiidae,0.1436,0.0768
Hydrobiidae,0.0839,0.0433
Hydrobiidae,0.0968,0.0503
Hydrobiidae,0.0391,0.0223
Hydrobiidae,0.0371,0.0198
Hydrobiidae,0.1873,0.0927
Hydrobiidae,0.1037,0.0528
Hydrobiidae,0.0046,0.0023
Hydrobiidae,0.0705,0.032
Hydrobiidae,0.0217,0.0071
Hydrobiidae,0.0041,0.0021
Hydrobiidae,0.0983,0.0557
Hydrobiidae,0.3561,0.2098
Hydrobiidae,0.6041,0.35
Hydrobiidae,0.5981,0.3481
Hydrobiidae,0.5434,0.3104
Hydrobiidae,0.0188,0.0105
Hydrobiidae,0.023,0.0142
Hydrobiidae,0.1181,0.0692
Hydrobiidae,0.3054,0.1774
Hydrobiidae,0.3789,0.2128
Hydrobiidae,0.0215,0.0127
Hydrobiidae,0.0141,0.0071
Hydrobiidae,0.0055,0.0032
Hydrobiidae,0.0273,0.0174
Hydrobiidae,0.0632,0.0312
Hydrobiidae,0.0154,0.0074
Hydrobiidae,0.0327,0.0156
Hydrobiidae,0.0422,0.018
Hydrobiidae,0.0824,0.0386
Hydrobiidae,0.0297,0.0174
Hydrobiidae,0.4207,0.2781
Hydrobiidae,0.1383,0.0778
Hydrobiidae,0.1477,0.0782
Hydrobiidae,0.0205,0.0092
Hydrobiidae,0.0433,0.0197
Hydrobiidae,0.0409,0.0247
Hydrobiidae,0.0937,0.0558
Hydrobiidae,0.0318,0.0187
Hydrobiidae,0.1903,0.1158
Hydrobiidae,0.0506,0.0312
Hydrobiidae,0.0265,0.0152
Hydrobiidae,0.103,0.0661
Hydrobiidae,0.134,0.0863
Hydrobiidae,0.2469,0.157
Hydrobiidae,0.0595,0.0305
Hydrobiidae,0.0782,0.0489
Hydrobiidae,0.1296,0.0817
Hydrobiidae,0.214,0.1327
Hydrobiidae,0.2247,0.1398
Hydrobiidae,0.0227,0.0138
Hydrobiidae,0.0052,0.0027
Hydrobiidae,0.0165,0.0095
Hydrobiidae,0.0181,0.0111
Hydrobiidae,0.0045,0.002
Hydrobiidae,0.4388,0.2854
